purchasing,purchased,total
C17,C21,0.09
C17,C22,190.44
C17,C23,39.34
C17,C24,29.94
C17,C25,246.43
C17,C26,18.26
C17,C27,41.38
C17,C28,38.22
C17,C29,3.91
C17,C30,0.19
C17,C31_32,18.31
C17,C33,26.36
C17,D,1138.99
C17,E36,41.46
C17,E37-39,581.47
C17,F,49.97
C17,G45,20.35
C17,G46,754.78
C17,G47,67.61
C17,H49,202.7
C17,H50,2.53
C17,H51,8.37
C17,H52,404.96
C17,H53,12.87
C17,I,43.39
C17,J58,3.66
C17,J59_60,16.61
C17,J61,34.97
C17,J62_63,62.01
C17,K64,237.53
C17,K65,48.46
C17,K66,25.11
C17,L68B,163.7
C17,L68A,0
C17,M69_70,575.45
C17,M71,69.86
C17,M72,0
C17,M73,37.6
C17,M74_75,17.9
C17,N77,127.74
C17,N78,298
C17,N79,18.45
C17,N80-82,270.38
C17,O,0
C17,P,52.63
C17,Q86,3.56
C17,Q87_88,0
C17,R90-92,0
C17,R93,7.7
C17,S94,9.74
C17,S95,10.6
C17,S96,10.66
C17,T,0
C17,HH,3044
C18,A01,0
C18,A02,32.36
C18,A03,0
C18,B,20.94
C18,C10-12,6.42
C18,C13-15,13.95
C18,C16,45
C18,C17,911.36
C18,C18,428.11
C18,C19,29.37
C18,C20,256.24
C18,C21,0
C18,C22,101.73
C18,C23,10.18
C18,C24,4.82
C18,C25,44.66
C18,C26,2.41
C18,C27,5.28
C18,C28,8.63
C18,C29,0.7
C18,C30,0
C18,C31_32,5.01
C18,C33,5.96
C18,D,122.49
C18,E36,13.03
C18,E37-39,46.61
C18,F,10.24
C18,G45,12.65
C18,G46,437.63
C18,G47,36.28
C18,H49,88.91
C18,H50,1.01
C18,H51,4.45
C18,H52,202.5
C18,H53,20.92
C18,I,28.03
C18,J58,1.07
C18,J59_60,12.36
C18,J61,49.73
C18,J62_63,58.8
C18,K64,129.28
C18,K65,27.48
C18,K66,13.01
C18,L68B,115.63
C18,L68A,0
C18,M69_70,381.95
C18,M71,33.67
C18,M72,0
C18,M73,233.41
C18,M74_75,8.82
C18,N77,70.69
C18,N78,185
C18,N79,2.7
C18,N80-82,140.26
C18,O,0
C18,P,13.16
C18,Q86,2.59
C18,Q87_88,0
C18,R90-92,0.82
C18,R93,3.85
