purchasing,purchased,total
M71,C13-C15,185.32
M72,C13-C15,381.65
M73,C13-C15,166.31
M74_M75,C13-C15,274.26
N77,C13-C15,330.55
N78,C13-C15,87.69
N79,C13-C15,44.45
N80-N82,C13-C15,595.65
O84,C13-C15,1786.98
P85,C13-C15,358.12
Q86,C13-C15,1744.83
Q87_Q88,C13-C15,616.71
R90-R92,C13-C15,360.84
R93,C13-C15,308.11
S94,C13-C15,241.14
S95,C13-C15,231.2
S96,C13-C15,434.03
T,C13-C15,2843.34
U,C13-C15,0
P3,C13-C15,172330.91
P51,C13-C15,1377.91
A01,C16,833.01
A02,C16,237.76
A03,C16,56.4
B,C16,391.42
C10-C12,C16,1953.53
C13-C15,C16,294.29
C16,C16,21915.12
C17,C16,2057.92
C18,C16,155.2
C19,C16,352.77
C20,C16,735.88
C21,C16,136.17
C22,C16,813.11
C23,C16,1092.12
C24,C16,705.75
C25,C16,1693.16
C26,C16,585.19
C27,C16,523.39
C28,C16,971.05
C29,C16,1563.97
C30,C16,868.02
C31_C32,C16,10686.86
C33,C16,684.74
D35,C16,1052.92
E36,C16,24.43
E37-E39,C16,407.36
F,C16,28867.68
G45,C16,289.23
G46,C16,2020.06
G47,C16,1057.99
H49,C16,319.87
H50,C16,23.01
H51,C16,15.05
H52,C16,457.26
H53,C16,21.6
I,C16,702.1
J58,C16,112.4
J59_J60,C16,369.21
J61,C16,166.98
J62_J63,C16,161.98
K64,C16,34.01
K65,C16,57.03
K66,C16,21.88
L68B,C16,1795.25
L68A,C16,864.45
M69_M70,C16,264.56
M71,C16,411.41
M72,C16,133.84
M73,C16,192.21
M74_M75,C16,200.81
N77,C16,229.61
N78,C16,70
N79,C16,22.81
N80-N82,C16,901.13
O84,C16,438.58
P85,C16,455.01
Q86,C16,126.25
Q87_Q88,C16,106.48
R90-R92,C16,229.46
R93,C16,124.67
S94,C16,105.76
S95,C16,165.55
S96,C16,766.73
T,C16,27.64
U,C16,0
P3,C16,9100.49
P51,C16,6753.37
A01,C17,580.45
A02,C17,47.17
A03,C17,29.36
B,C17,188.83
C10-C12,C17,12145.58
C13-C15,C17,1208.65
C16,C17,897.91
C17,C17,36619.70
C18,C17,14034.80
C19,C17,236.66
C20,C17,4592.98
C21,C17,1334.07
C22,C17,2279.93
C23,C17,1544.04
C24,C17,557.21
C25,C17,1136.40
C26,C17,890.28
C27,C17,1284.53
C28,C17,1091.56
C29,C17,755.92
C30,C17,249.91
C31_C32,C17,1468.58
C33,C17,543.46
D35,C17,1089.59
E36,C17,88.06
E37-E39,C17,1213.86
F,C17,2015.61
G45,C17,632.65
G46,C17,5339.64
G47,C17,2725.95
H49,C17,644.11
H50,C17,50.53
H51,C17,44.57
H52,C17,604.31
H53,C17,113.13
I,C17,1674.02
J58,C17,6451.31
J59_J60,C17,1180.84
J61,C17,392.69
J62_J63,C17,887.34
K64,C17,1109.37
K65,C17,525.91
K66,C17,592.32
L68B,C17,1018.09
L68A,C17,260.39
M69_M70,C17,1836.86
M71,C17,1140.36
M72,C17,462.39
M73,C17,1590.91
M74_M75,C17,682.32
N77,C17,745.44
N78,C17,172.96
N79,C17,340.55
N80-N82,C17,2120.65
O84,C17,2323.89
P85,C17,1176.02
Q86,C17,1491.34
Q87_Q88,C17,659.45
R90-R92,C17,354.63
R93,C17,243.12
S94,C17,335.26
S95,C17,113.71
S96,C17,194.46
T,C17,535.43
U,C17,0
P3,C17,19138.71
P51,C17,28.53
A01,C18,113.27
A02,C18,20.28
A03,C18,6.8
B,C18,83.76
C10-C12,C18,1372.22
C13-C15,C18,462.79
C16,C18,121.47
C17,C18,1757.13
C18,C18,8435.13
C19,C18,111.15
C20,C18,1384.19
C21,C18,657.83
C22,C18,463.85
C23,C18,322.77
C24,C18,298.43
C25,C18,609.39
C26,C18,389.23
C27,C18,408.72
C28,C18,731.22
C29,C18,771.99
C30,C18,201.84
C31_C32,C18,675.71
C33,C18,316.92
D35,C18,525.43
E36,C18,79.12
E37-E39,C18,437.91
F,C18,1484.17
G45,C18,983.35
G46,C18,3374.72
G47,C18,3736.23
H49,C18,789.74
H50,C18,50.45
H51,C18,91.42
H52,C18,676.77
H53,C18,441.12
I,C18,1549.47
J58,C18,12456.84
J59_J60,C18,2176.89
J61,C18,2299.83
J62_J63,C18,2237.05
K64,C18,2592.11
K65,C18,1590.54
K66,C18,811.45
L68B,C18,1038.13
L68A,C18,306.75
M69_M70,C18,3107.07
M71,C18,2208.58
M72,C18,778.28
M73,C18,3771.80
M74_M75,C18,831.81
N77,C18,1190.88
N78,C18,308.67
N79,C18,2051.33
N80-N82,C18,2616.06
O84,C18,3956.08
P85,C18,2795.91
Q86,C18,1418.45
Q87_Q88,C18,547.77
R90-R92,C18,1382.44
R93,C18,1075
S94,C18,845.39
S95,C18,140.43
S96,C18,238.39
T,C18,219.65
U,C18,0
P3,C18,5165.03
P51,C18,760.88
A01,C19,8257.60
A02,C19,524.91
A03,C19,695.46
B,C19,1683.69
C10-C12,C19,4057.92
C13-C15,C19,794.77
C16,C19,664.22
C17,C19,731.89
C18,C19,208.48
C19,C19,40383.01
C20,C19,23938.87
C21,C19,966.43
C22,C19,1889.82
C23,C19,3063.19
C24,C19,5601.25
C25,C19,1404.11
C26,C19,547.24
C27,C19,691.39
C28,C19,1064.88
C29,C19,954.6
C30,C19,335.8
C31_C32,C19,583.49
C33,C19,909.24
D35,C19,12076.06
E36,C19,333.53
E37-E39,C19,1950.66
F,C19,13497.33
G45,C19,2459.10
G46,C19,15795.90
G47,C19,5284.69
H49,C19,29754.12
H50,C19,13975.75
H51,C19,16485.29
H52,C19,5619.73
H53,C19,644.2
I,C19,2344.94
J58,C19,474.38
J59_J60,C19,539.37
J61,C19,1070.30
J62_J63,C19,1357.65
K64,C19,772.61
K65,C19,553.18
K66,C19,356.1
L68B,C19,2206.67
L68A,C19,554
M69_M70,C19,2200.01
M71,C19,1197.03
M72,C19,779.58
M73,C19,737.01
M74_M75,C19,565.64
N77,C19,2533.03
N78,C19,406.97
N79,C19,354.53
N80-N82,C19,2130.23
O84,C19,5169.61
P85,C19,1629.18
Q86,C19,1886.88
Q87_Q88,C19,702.52
